,time,volume,occupancy,speed
376,031353000,0,0,0
377,031423000,0,0,0
378,031454000,0,0,0
379,031525000,0,0,0
380,031555000,0,0,0
381,031625000,0,0,0
382,031655000,0,0,0
383,031726000,1,1,57
384,031756000,0,0,0
385,031826000,0,0,0
386,031856000,1,1,57
387,031926000,0,0,0
388,031926000,0,0,0
389,032028000,0,0,0
390,032028000,0,0,0
391,032129000,1,1,57
392,032159000,0,0,0
393,032230000,0,0,0
394,032300000,1,1,57
395,032330000,0,0,0
396,032401000,0,0,0
397,032431000,0,0,0
398,032502000,1,1,57
399,032532000,0,0,0
400,032602000,0,0,0
401,032633000,0,0,0
402,032703000,0,0,0
403,032733000,0,0,0
404,032803000,0,0,0
405,032834000,0,0,0
406,032905000,0,0,0
407,032936000,0,0,0
408,033006000,1,1,58
409,033036000,0,0,0
410,033106000,0,0,0
411,033136000,1,1,58
412,033207000,0,0,0
413,033238000,0,0,0
414,033309000,0,0,0
415,033339000,0,0,0
416,033410000,0,0,0
417,033440000,0,0,0
418,033510000,1,1,58
419,033541000,1,1,58
420,033611000,0,0,0
421,033641000,0,0,0
422,033711000,0,0,0
423,033742000,0,0,0
424,033812000,0,0,0
425,033843000,0,0,0
426,033913000,2,2,60
427,033943000,0,0,0
428,034014000,0,0,0
429,034044000,1,1,61
430,034114000,0,0,0
431,034144000,0,0,0
432,034215000,0,0,0
433,034246000,0,0,0
434,034316000,0,0,0
435,034347000,0,0,0
436,034417000,0,0,0
437,034447000,0,0,0
438,034518000,0,0,0
439,034548000,0,0,0
440,034619000,0,0,0
441,034650000,0,0,0
442,034720000,1,1,62
443,034750000,0,0,0
444,034821000,0,0,0
445,034851000,0,0,0
446,034921000,1,1,62
447,034951000,0,0,0
448,035022000,0,0,0
449,035052000,0,0,0
450,035123000,0,0,0
451,035153000,0,0,0
452,035223000,0,0,0
453,035254000,1,1,63
454,035325000,0,0,0
455,035355000,2,2,64
456,035455000,0,0,0
457,035525000,0,0,0
458,035556000,0,0,0
459,035627000,1,1,64
460,035728000,0,0,0
461,035759000,0,0,0
462,035830000,0,0,0
463,035900000,0,0,0
464,035930000,0,0,0
465,040001000,0,0,0
466,040031000,0,0,0
467,040101000,0,0,0
468,040132000,0,0,0
469,040202000,0,0,0
470,040233000,0,0,0
471,040304000,0,0,0
472,040334000,1,1,64
473,040404000,0,0,0
474,040435000,0,0,0
475,040505000,2,1,64
476,040535000,1,1,63
477,040606000,0,0,0
478,040636000,0,0,0
479,040706000,0,0,0
480,040737000,0,0,0
481,040807000,1,1,63
482,040838000,0,0,0
483,040909000,1,1,62
484,040939000,2,1,61
485,041010000,0,0,0
486,041040000,0,0,0
487,041110000,1,1,60
488,041140000,1,1,60
489,041211000,1,1,59
490,041241000,0,0,0
491,041311000,0,0,0
492,041341000,0,0,0
493,041412000,0,0,0
494,041442000,0,0,0
495,041513000,0,0,0
496,041543000,1,1,58
497,041613000,2,1,57
498,041644000,0,0,0
499,041714000,0,1,0
500,041745000,1,1,57
501,041815000,0,0,0
502,041845000,0,0,0
503,041915000,0,0,0
504,041946000,0,0,0
505,042016000,0,0,0
506,042046000,0,0,0
507,042116000,1,1,57
508,042147000,1,1,56
509,042217000,1,1,55
510,042248000,0,0,0
511,042318000,0,0,0
512,042349000,0,0,0
513,042419000,1,1,55
514,042449000,3,1,57
515,042520000,1,1,57
516,042550000,0,0,0
517,042620000,1,1,57
518,042650000,0,0,0
519,042721000,0,0,0
520,042751000,0,0,0
521,042821000,1,1,57
522,042851000,1,1,57
523,042922000,1,1,57
524,042952000,0,0,0
525,043023000,1,1,57
526,043023000,1,1,57
527,043123000,0,0,0
528,043154000,2,1,57
529,043225000,1,1,57
530,043256000,0,0,0
531,043326000,0,0,0
532,043357000,0,0,0
533,043427000,1,1,57
534,043457000,0,0,0
535,043457000,0,0,0
536,043629000,0,0,0
537,043700000,0,0,0
538,043730000,0,0,0
539,043801000,0,0,0
540,043831000,0,0,0
541,043901000,0,0,0
542,043932000,0,0,0
543,044003000,0,0,0
544,044033000,1,1,57
545,044103000,2,1,57
546,044134000,1,1,57
547,044205000,0,0,0
548,044235000,0,0,0
549,044306000,0,0,0
550,044336000,0,0,0
551,044407000,2,1,57
552,044437000,2,1,57
553,044507000,0,0,0
554,044538000,0,0,0
555,044609000,0,0,0
556,044639000,2,1,57
557,044709000,0,0,0
558,044740000,1,1,56
559,044810000,0,0,0
560,044841000,1,1,56
561,044911000,2,1,56
562,044941000,0,0,0
563,045011000,0,0,0
564,045041000,1,1,56
565,045111000,1,1,56
566,045141000,0,0,0
567,045212000,3,1,56
568,045243000,1,1,55
569,045313000,1,1,55
570,045344000,1,1,54
571,045414000,0,0,0
572,045444000,1,1,53
573,045515000,0,0,0
574,045545000,0,0,0
575,045615000,0,0,0
576,045645000,0,0,0
577,045716000,0,0,0
578,045746000,0,0,0
579,045816000,1,1,53
580,045847000,1,1,52
581,045917000,0,0,0
582,045947000,3,1,51
583,050017000,0,0,0
584,050048000,2,1,50
585,050118000,1,1,49
586,050149000,1,1,48
587,050219000,3,1,47
588,050249000,0,0,0
589,050320000,3,1,48
590,050351000,5,2,49
591,050422000,3,1,50
592,050452000,0,0,0
593,050523000,1,1,50
594,050553000,3,1,50
595,050624000,2,1,51
596,050654000,2,1,52
597,050725000,0,0,0
598,050755000,2,1,52
599,050825000,1,1,52
600,050856000,3,1,53
601,050927000,5,2,54
602,050958000,0,0,0
603,051028000,1,1,54
604,051059000,1,1,53
605,051130000,0,0,0
606,051200000,3,1,53
607,051230000,3,3,56
608,051301000,2,1,57
609,051331000,2,1,57
610,051402000,0,0,0
611,051432000,6,3,59
612,051503000,3,1,58
613,051533000,4,2,57
614,051604000,5,2,56
615,051635000,3,1,56
616,051705000,4,2,57
617,051735000,5,2,57
618,051806000,3,1,57
619,051837000,0,0,0
620,051907000,9,4,56
621,051938000,4,2,57
622,052009000,3,1,58
623,052039000,4,2,60
624,052110000,1,1,60
625,052140000,7,3,60
626,052210000,5,2,59
627,052240000,2,1,59
628,052311000,3,2,58
629,052342000,8,4,56
630,052412000,6,5,57
631,052442000,3,1,58
632,052512000,6,3,59
633,052543000,2,1,59
634,052614000,3,1,59
635,052644000,4,2,60
636,052714000,2,1,60
637,052745000,4,2,59
638,052816000,4,2,58
639,052846000,5,2,58
640,052916000,4,4,58
641,052946000,11,6,58
642,053017000,12,6,57
643,053047000,4,2,56
644,053117000,9,4,57
645,053147000,2,1,57
646,053218000,8,4,55
647,053248000,3,1,55
648,053319000,5,2,57
649,053349000,5,2,57
650,053419000,3,2,57
651,053450000,12,6,60
652,053521000,3,1,60
653,053551000,8,4,58
654,053621000,2,1,59
655,053652000,6,3,60
656,053722000,8,4,62
657,053753000,4,3,62
658,053823000,9,4,62
659,053853000,10,5,57
660,053923000,4,2,57
661,054024000,4,2,55
662,054054000,5,2,53
663,054124000,5,2,55
664,054155000,2,1,56
665,054225000,8,4,59
666,054255000,9,4,58
667,054325000,4,2,57
668,054355000,6,3,57
669,054425000,14,7,58
670,054456000,12,6,56
671,054527000,12,6,57
672,054557000,2,1,57
673,054557000,2,1,57
674,054658000,13,6,56
675,054729000,2,1,55
676,054759000,2,1,55
677,054830000,5,2,55
678,054900000,3,1,56
679,054931000,10,5,52
