,detectorId,dotId,onStreetName,onDirection,atCrossStreet,onLongitude,onLatitude
377,MI044W266.3U,MI044W266.3U,I44,West,WO Lewis Rd (MI044W266.3U),-90.59697723,38.50260162
378,MI044W267.5U,MI044W267.5U,I44,West,EO Lewis Rd (MI044W267.5U),-90.57302094,38.50756073
379,MI044W268.9U,MI044W268.9U,I44,West,Antire Rd (MI044W268.9U),-90.55088806,38.51460648
380,MI044W270.5U,MI044W270.5U,I44,West,EO Antire Rd (MI044W270.5U),-90.53245544,38.52848053
381,MI044W271.8U,MI044W271.8U,I44,West,WO Meramec Station Rd - WO 141 (MI044W271.8U),-90.51000977,38.53707886
382,MI044W273.4U,MI044W273.4U,I44,West,EO Rte 141 (MI044W273.4U),-90.48348999,38.53932953
383,MI044W274.6U,MI044W274.6U,I44,West,EO Bowles Ave (MI044W274.6U),-90.46167755,38.54317856
384,MI044W275.6U,MI044W275.6U,I44,West,WO I-270 (MI044W275.6U),-90.44116211,38.5424614
385,MI044W277.3U,MI044W277.3U,I44,West,EO 270 (MI044W277.3U),-90.41678619,38.55480957
386,MI044W277.3V,MI044W277.3V,I44,West,EO 270 (MI044W277.3V),-90.41678619,38.55480957
387,MI044W278.5U,MI044W278.5U,I44,West,WO Big Bend Blvd (MI044W278.5U),-90.39720917,38.56292725
388,MI044W279.6U,MI044W279.6U,I44,West,EO Sappington Rd Overpass (MI044W279.6U),-90.38391113,38.57459259
389,MI044W280.8U,MI044W280.8U,I44,West,WO Elm Ave (MI044W280.8U),-90.36231995,38.58004761
390,MI044W280.8V,MI044W280.8V,I44,West,WO Elm Ave (MI044W280.8V),-90.36231995,38.58004761
391,MI044W282.0U,MI044W282.0U,I44,West,WO Murdoch Ave (MI044W282.0U),-90.34191132,38.58672714
392,MI044W283.3U,MI044W283.3U,I44,West,EO Shrewsbury Ave (MI044W283.3U),-90.3217926,38.59555054
393,MI044W284.6U,MI044W284.6U,I44,West,Arsenal St (MI044W284.6U),-90.30438232,38.60876846
394,MI044W285.8U,MI044W285.8U,I44,West,Hampton Ave (MI044W285.8U),-90.28772736,38.61896896
395,MI044W287.1U,MI044W287.1U,I44,West,Kingshighway Blvd (MI044W287.1U),-90.26431274,38.61872864
396,MI044W287.1V,MI044W287.1V,I44,West,Kingshighway Blvd (MI044W287.1V),-90.26431274,38.61872864
397,MI044W288.2U,MI044W288.2U,I44,West,WO Grand Blvd (MI044W288.2U),-90.2431488,38.61727142
398,MI044W288.2V,MI044W288.2V,I44,West,WO Grand Blvd (MI044W288.2V),-90.2431488,38.61727142
399,MI044W289.5U,MI044W289.5U,I44,West,Jefferson Ave (MI044W289.5U),-90.22040558,38.61383057
400,MI055N184.8U,MI055N184.8U,I55,North,SO Rte M (MI055N184.8U),-90.39743805,38.34380722
401,MI055N185.9U,MI055N185.9U,I55,North,NO Rte M (MI055N185.9U),-90.39031982,38.3583107
402,MI055N187.0U,MI055N187.0U,I55,North,Imperial-Main (MI055N187.0U),-90.38121033,38.37295914
403,MI055N188.4U,MI055N188.4U,I55,North,NO Imperial-Main (MI055N188.4U),-90.38184357,38.39367294
404,MI055N189.7U,MI055N189.7U,I55,North,SO Richardson Rd (MI055N189.7U),-90.38881683,38.41191101
405,MI055N189.7V,MI055N189.7V,I55,North,SO Richardson Rd (MI055N189.7V),-90.38881683,38.41191101
406,MI055N191.2U,MI055N191.2U,I55,North,SO Church Rd Overpass (MI055N191.2U),-90.38378906,38.43115234
407,MI055N192.4U,MI055N192.4U,I55,North,NO Rte 141 (MI055N192.4U),-90.37784576,38.44792938
408,MI055N192.4V,MI055N192.4V,I55,North,NO Rte 141 (MI055N192.4V),-90.37784576,38.44792938
409,MI055N193.9U,MI055N193.9U,I55,North,NO Meramec Bottom Rd (MI055N193.9U),-90.37039948,38.46802139
410,MI055N195.0U,MI055N195.0U,I55,North,SO Butler Hill Rd (MI055N195.0U),-90.35881805,38.4822197
411,MI055N195.0V,MI055N195.0V,I55,North,SO Butler Hill Rd (MI055N195.0V),-90.35881805,38.4822197
412,MI055N196.3U,MI055N196.3U,I55,North,NO Mattis Rd Overpass (MI055N196.3U),-90.3447876,38.49664688
413,MI055N196.3V,MI055N196.3V,I55,North,NO Mattis Rd Overpass (MI055N196.3V),-90.3447876,38.49664688
414,MI055N197.0U,MI055N197.0U,I55,North,SO Lindbergh-Rte 67 (MI055N197.0U),-90.33673096,38.50658035
415,MI055N197.0V,MI055N197.0V,I55,North,SO Lindbergh-Rte 67 (MI055N197.0V),-90.33673096,38.50658035
416,MI055N198.5U,MI055N198.5U,I55,North,SO Greenpark Rd Overpass (MI055N198.5U),-90.32217407,38.52280045
417,MI055N199.7U,MI055N199.7U,I55,North,NO Reavis Barracks Rd (MI055N199.7U),-90.30886841,38.53598023
418,MI055N200.7U,MI055N200.7U,I55,North,SO Bayless Ave (MI055N200.7U),-90.29521179,38.54431915
419,MI055N201.6U,MI055N201.6U,I55,North,WO Carondelet Blvd (MI055N201.6U),-90.2755127,38.55295944
420,MI055N201.6V,MI055N201.6V,I55,North,WO Carondelet Blvd (MI055N201.6V),-90.2755127,38.55295944
421,MI055N202.9U,MI055N202.9U,I55,North,Holly Hills Ave Overpass (MI055N202.9U),-90.25593567,38.56007385
422,MI055N203.9U,MI055N203.9U,I55,North,SO Delor St Overpass (MI055N203.9U),-90.24047089,38.56751251
423,MI055N205.0U,MI055N205.0U,I55,North,SO Gasconade St (MI055N205.0U),-90.22795868,38.57946014
424,MI055N206.0U,MI055N206.0U,I55,North,SO 3200 Broadway (MI055N206.0U),-90.21395111,38.58871841
425,MI055N207.1U,MI055N207.1U,I55,North,SO Gravois Ave-Rte 30 (MI055N207.1U),-90.2144928,38.60411072
426,MI055N208.1U,MI055N208.1U,I55,North,SO Park Ave (MI055N208.1U),-90.20217133,38.61233902
427,MI055N208.1V,MI055N208.1V,I55,North,SO Park Ave (MI055N208.1V),-90.20217133,38.61233902
428,MI044E291.4U,MI044E291.4U,I44,East,S of I-64 (MI044E291.4U),-90.19083405,38.61859894
429,MI055S184.8U,MI055S184.8U,I55,South,SO Rte M (MI055S184.8U),-90.39743805,38.34380722
430,MI055S185.9U,MI055S185.9U,I55,South,SO Imperial Main St (MI055S185.9U),-90.39031982,38.3583107
431,MI055S187.0U,MI055S187.0U,I55,South,Imperial-Main (MI055S187.0U),-90.38121033,38.37295914
432,MI055S188.4U,MI055S188.4U,I55,South,NO Imperial-Main (MI055S188.4U),-90.38184357,38.39367294
433,MI055S189.7U,MI055S189.7U,I55,South,SO Richardson Rd (MI055S189.7U),-90.38881683,38.41191101
434,MI055S189.7V,MI055S189.7V,I55,South,SO Richardson Rd (MI055S189.7V),-90.38881683,38.41191101
435,MI055S191.2U,MI055S191.2U,I55,South,SO Church Rd Overpass (MI055S191.2U),-90.38378906,38.43115234
436,MI055S192.4U,MI055S192.4U,I55,South,NO Rte 141 (MI055S192.4U),-90.37784576,38.44792938
437,MI055S192.4V,MI055S192.4V,I55,South,NO Rte 141 (MI055S192.4V),-90.37784576,38.44792938
438,MI055S193.9U,MI055S193.9U,I55,South,NO Meramec Bottom Rd (MI055S193.9U),-90.37039948,38.46802139
439,MI055S195.0U,MI055S195.0U,I55,South,SO Butler Hill Rd (MI055S195.0U),-90.35881805,38.4822197
440,MI055S195.0V,MI055S195.0V,I55,South,SO Butler Hill Rd (MI055S195.0V),-90.35881805,38.4822197
441,MI055S196.3U,MI055S196.3U,I55,South,NO Mattis Rd Overpass (MI055S196.3U),-90.3447876,38.49664688
442,MI055S197.0U,MI055S197.0U,I55,South,SO Lindbergh-Rte. 67 (MI055S197.0U),-90.33673096,38.50658035
443,MI055S197.0V,MI055S197.0V,I55,South,SO Lindbergh-Rte. 67 (MI055S197.0V),-90.33673096,38.50658035
444,MI055S198.5U,MI055S198.5U,I55,South,SO Greenpark Rd Overpass (MI055S198.5U),-90.32217407,38.52280045
445,MI055S199.7U,MI055S199.7U,I55,South,NO Reavis Barracks Rd (MI055S199.7U),-90.30886841,38.53598023
446,MI055S200.7U,MI055S200.7U,I55,South,SO Bayless Ave (MI055S200.7U),-90.29521179,38.54431915
447,MI055S200.7V,MI055S200.7V,I55,South,SO Bayless Ave (MI055S200.7V),-90.29521179,38.54431915
448,MI055S201.6U,MI055S201.6U,I55,South,WO Carondelet Blvd (MI055S201.6U),-90.2755127,38.55295944
449,MI055S201.6V,MI055S201.6V,I55,South,WO Carondelet Blvd (MI055S201.6V),-90.2755127,38.55295944
450,MI055S202.9U,MI055S202.9U,I55,South,Holly Hills Ave Overpass (MI055S202.9U),-90.25593567,38.56007385
451,MI055S203.9U,MI055S203.9U,I55,South,SO Delor St Overpass (MI055S203.9U),-90.24047089,38.56751251
452,MI055S205.0U,MI055S205.0U,I55,South,SO Gasconade St (MI055S205.0U),-90.22795868,38.57946014
453,MI055S206.0U,MI055S206.0U,I55,South,SO 3200 Broadway (MI055S206.0U),-90.21395111,38.58871841
454,MI055S207.1U,MI055S207.1U,I55,South,SO Gravois Ave-Rte 30 (MI055S207.1U),-90.2144928,38.60411072
455,MI055S208.1U,MI055S208.1U,I55,South,SO Park Ave (MI055S208.1U),-90.20217133,38.61233902
456,MI055S208.1V,MI055S208.1V,I55,South,SO Park Ave (MI055S208.1V),-90.20217133,38.61233902
457,MI044W291.4U,MI044W291.4U,I44,West,S of I-64 (MI044W291.4U),-90.19083405,38.61859894
458,MI064E000.7U,MI064E000.7U,I64,East,EO I-70 (MI064E000.7U),-90.82857513,38.80160904
459,MI064E002.0U,MI064E002.0U,I64,East,EO Prospect Rd (MI064E002.0U),-90.81134033,38.791008
460,MI064E003.2U,MI064E003.2U,I64,East,Lake St Louis Blvd (MI064E003.2U),-90.79137421,38.77939987
461,MI064E004.6U,MI064E004.6U,I64,East,Rte N (MI064E004.6U),-90.77172089,38.766819
462,MI064E004.6V,MI064E004.6V,I64,East,Rte N (MI064E004.6V),-90.77172089,38.766819
463,MI064E005.6U,MI064E005.6U,I64,East,WO Rte DD-Winghaven Blvd (MI064E005.6U),-90.75820923,38.75363922
464,MI064E007.1U,MI064E007.1U,I64,East,EO Rte DD-Winghaven Blvd (MI064E007.1U),-90.74297333,38.73781967
465,MI064E008.5U,MI064E008.5U,I64,East,WO Rte K (MI064E008.5U),-90.72619629,38.72308731
466,MI064E025.2U,MI064E025.2U,I64,East,EO Mason Rd (MI064E025.2U),-90.462728,38.638408
467,MI064E026.1U,MI064E026.1U,I64,East,Ballas Rd (MI064E026.1U),-90.44294739,38.63840866
468,MI064E026.1V,MI064E026.1V,I64,East,Ballas Rd (MI064E026.1V),-90.44294739,38.63840866
469,MI064E027.4U,MI064E027.4U,I64,East,Spoede Rd (MI064E027.4U),-90.42019653,38.63628769
470,MI064E027.4V,MI064E027.4V,I64,East,Spoede Rd (MI064E027.4V),-90.42019653,38.63628769
471,MI064E028.6U,MI064E028.6U,I64,East,WO Warson Rd (MI064E028.6U),-90.39849091,38.63644791
472,MI064E029.7U,MI064E029.7U,I64,East,WO McKnight St (MI064E029.7U),-90.37973785,38.63208771
473,MI064E031.0U,MI064E031.0U,I64,East,WO Brentwood Blvd (MI064E031.0U),-90.35779572,38.63144684
474,MI064E032.0U,MI064E032.0U,I64,East,WO S Hanley Rd (MI064E032.0U),-90.33707428,38.62995148
475,MI064E033.4U,MI064E033.4U,I64,East,WO McCausland Ave (MI064E033.4U),-90.31283569,38.62862015
476,MI064E033.4V,MI064E033.4V,I64,East,WO McCausland Ave (MI064E033.4V),-90.31283569,38.62862015
477,MI064E034.7U,MI064E034.7U,I64,East,WO Hampton Ave (MI064E034.7U),-90.29232025,38.63201904
478,MI064E034.7V,MI064E034.7V,I64,East,WO Hampton Ave (MI064E034.7V),-90.29232025,38.63201904
479,MI064E035.7U,MI064E035.7U,I64,East,WO Kingshighway Blvd (MI064E035.7U),-90.27317047,38.62979126
480,MI064E037.0U,MI064E037.0U,I64,East,WO Sarah St (MI064E037.0U),-90.24983215,38.63134003
481,MI064E037.0V,MI064E037.0V,I64,East,WO Sarah St (MI064E037.0V),-90.24983215,38.63134003
482,MI064E038.3U,MI064E038.3U,I64,East,Compton Ave Overpass (MI064E038.3U),-90.22779846,38.63029862
483,MI064E038.3V,MI064E038.3V,I64,East,Compton Ave Overpass (MI064E038.3V),-90.22779846,38.63029862
484,MI064E039.1U,MI064E039.1U,I64,East,Market St Exit (MI064E039.1U),-90.21287537,38.62631226
485,MI064E040.4U,MI064E040.4U,I64,East,I-55-I-70 (MI064E040.4U),-90.19000244,38.61997986
486,MI064W000.7U,MI064W000.7U,I64,West,EO I-70 Interchange (MI064W000.7U),-90.82857513,38.80160904
487,MI064W002.0U,MI064W002.0U,I64,West,EO Prospect Rd (MI064W002.0U),-90.81134033,38.791008
488,MI064W003.2U,MI064W003.2U,I64,West,Lake St Louis Blvd (MI064W003.2U),-90.79137421,38.77939987
489,MI064W004.6U,MI064W004.6U,I64,West,Rte N (MI064W004.6U),-90.77172089,38.766819
490,MI064W005.6U,MI064W005.6U,I64,West,WO Rte DD-Winghaven Blvd (MI064W005.6U),-90.75820923,38.75363922
491,MI064W007.1U,MI064W007.1U,I64,West,EO Rte DD-Winghaven Blvd (MI064W007.1U),-90.74297333,38.73781967
492,MI064W008.5U,MI064W008.5U,I64,West,WO Rte K (MI064W008.5U),-90.72619629,38.72308731
493,MI064W025.2U,MI064W025.2U,I64,West,EO Mason Rd (MI064W025.2U),-90.462728,38.638408
494,MI064W026.1U,MI064W026.1U,I64,West,Ballas Rd (MI064W026.1U),-90.44294739,38.63840866
495,MI064W026.1V,MI064W026.1V,I64,West,Ballas Rd (MI064W026.1V),-90.44294739,38.63840866
496,MI064W027.4U,MI064W027.4U,I64,West,Spoede Rd (MI064W027.4U),-90.42019653,38.63628769
497,MI064W027.4V,MI064W027.4V,I64,West,Spoede Rd (MI064W027.4V),-90.42019653,38.63628769
498,MI064W028.6U,MI064W028.6U,I64,West,WO Warson Rd (MI064W028.6U),-90.39849091,38.63644791
499,MI064W029.7U,MI064W029.7U,I64,West,WO McKnight St (MI064W029.7U),-90.37973785,38.63208771
500,MI064W031.0U,MI064W031.0U,I64,West,WO Brentwood Blvd (MI064W031.0U),-90.35779572,38.63144684
501,MI064W031.0V,MI064W031.0V,I64,West,WO Brentwood Blvd (MI064W031.0V),-90.35779572,38.63144684
